person_id,first_name,last_name,display_last_comma_first
101114,Deron,Williams,"Williams, Deron"
101132,Linas,Kleiza,"Kleiza, Linas"
201596,Mario,Chalmers,"Chalmers, Mario"
203122,Kevin,Murphy,"Murphy, Kevin"
201943,Brandon,Jennings,"Jennings, Brandon"
203084,Harrison,Barnes,"Barnes, Harrison"
201934,Hasheem,Thabeet,"Thabeet, Hasheem"
2260,Jarron,Collins,"Collins, Jarron"
203935,Marcus,Smart,"Smart, Marcus"
2397,Ming,Yao,"Yao Ming"
203944,Julius,Randle,"Randle, Julius"
200780,Solomon,Jones,"Jones, Solomon"
2765,Andre,Emmett,"Emmett, Andre"
203126,Kris,Joseph,"Joseph, Kris"
2446,Rasual,Butler,"Butler, Rasual"
201141,Greg,Oden,"Oden, Greg"
203506,Victor,Oladipo,"Oladipo, Victor"
2457,Jannero,Pargo,"Pargo, Jannero"
203096,Jared,Sullinger,"Sullinger, Jared"
202687,Bismack,Biyombo,"Biyombo, Bismack"
203919,Jordan,Adams,"Adams, Jordan"
203513,Erik,Murphy,"Murphy, Erik"
201973,Jonas,Jerebko,"Jerebko, Jonas"
202862,Dennis,Horner,"Horner, Dennis"
203940,Adreian,Payne,"Payne, Adreian"
2566,Travis,Outlaw,"Outlaw, Travis"
979,Jermaine,O'Neal,"O'Neal, Jermaine"
203129,Tornike,Shengelia,"Shengelia, Tornike"
1733,Al,Harrington,"Harrington, Al"
2547,Chris,Bosh,"Bosh, Chris"
203097,Fab,Melo,"Melo, Fab"
201609,Goran,Dragic,"Dragic, Goran"
2767,Royal,Ivey,"Ivey, Royal"
203565,Patrick,Christopher,"Christopher, Patrick"
203477,Isaiah,Canaan,"Canaan, Isaiah"
203490,Otto,Porter,"Porter, Otto"
201785,Othyus,Jeffers,"Jeffers, Othyus"
203954,Joel,Embiid,"Embiid, Joel"
203111,Orlando,Johnson,"Johnson, Orlando"
203500,Steven,Adams,"Adams, Steven"
2581,Steve,Blake,"Blake, Steve"
201167,Arron,Afflalo,"Afflalo, Arron"
203485,Lorenzo,Brown,"Brown, Lorenzo"
202681,Kyrie,Irving,"Irving, Kyrie"
202343,Elliot,Williams,"Williams, Elliot"
202738,Isaiah,Thomas,"Thomas, Isaiah"
2592,James,Jones,"Jones, James"
203505,Vander,Blue,"Blue, Vander"
201944,Terrence,Williams,"Williams, Terrence"
202087,Alonzo,Gee,"Gee, Alonzo"
2073,Brian,Cardinal,"Cardinal, Brian"
977,Kobe,Bryant,"Bryant, Kobe"
101130,Johan,Petro,"Petro, Johan"
201571,D.J.,Augustin,"Augustin, D.J."
203914,Gary,Harris,"Harris, Gary"
203548,Elias,Harris,"Harris, Elias"
2449,Luis,Scola,"Scola, Luis"
203798,PJ,Hairston,"Hairston, PJ"
202354,Dexter,Pittman,"Pittman, Dexter"
2211,Troy,Murphy,"Murphy, Troy"
1902,Jeff,Foster,"Foster, Jeff"
202330,Gordon,Hayward,"Hayward, Gordon"
2694,Josh,Powell,"Powell, Josh"
203108,Bernard,James,"James, Bernard"
203159,Scott,Machado,"Machado, Scott"
2443,Darius,Songaila,"Songaila, Darius"
203145,Kent,Bazemore,"Bazemore, Kent"
201976,Patrick,Beverley,"Beverley, Patrick"
956,Erick,Dampier,"Dampier, Erick"
202322,John,Wall,"Wall, John"
202729,Josh,Selby,"Selby, Josh"
202130,Reggie,Williams,"Williams, Reggie"
101139,CJ,Miles,"Miles, CJ"
204054,Zoran,Dragic,"Dragic, Zoran"
202725,Josh,Harrellson,"Harrellson, Josh"
2429,Dan,Gadzuric,"Gadzuric, Dan"
202346,Dominique,Jones,"Jones, Dominique"
203499,Shane,Larkin,"Larkin, Shane"
203147,Chris,Smith,"Smith, Chris"
203517,Nemanja,Nedovic,"Nedovic, Nemanja"
202727,Travis,Leslie,"Leslie, Travis"
203102,Arnett,Moultrie,"Moultrie, Arnett"
200745,Andrea,Bargnani,"Bargnani, Andrea"
2546,Carmelo,Anthony,"Anthony, Carmelo"
201202,Joel,Anthony,"Anthony, Joel"
202406,Jerome,Dyson,"Dyson, Jerome"
2216,Zach,Randolph,"Randolph, Zach"
203918,Rodney,Hood,"Hood, Rodney"
203078,Bradley,Beal,"Beal, Bradley"
201153,Julian,Wright,"Wright, Julian"
202706,Jordan,Hamilton,"Hamilton, Jordan"
101144,Von,Wafer,"Wafer, Von"
202345,Damion,James,"James, Damion"
201189,Aaron,Gray,"Gray, Aaron"
202693,Markieff,Morris,"Morris, Markieff"
203100,Tony,Wroten,"Wroten, Tony"
202685,Jonas,Valanciunas,"Valanciunas, Jonas"
203460,Andre,Roberson,"Roberson, Andre"
101179,Ronnie,Price,"Price, Ronnie"
2408,Melvin,Ely,"Ely, Melvin"
203544,Pero,Antic,"Antic, Pero"
959,Steve,Nash,"Nash, Steve"
202355,Hassan,Whiteside,"Whiteside, Hassan"
201228,CJ,Watson,"Watson, CJ"
2755,Kevin,Martin,"Martin, Kevin"
201956,Omri,Casspi,"Casspi, Omri"
