players_espn_id,player_id,player_name,college_name,height,weight,player_url,pos,jersey
356,3147366,Chinanu Onuaku,Louisville,6-10,245,http://www.espn.com/nba/player/_/id/3147366/chinanu-onuaku,PF,21
357,2581029,Kyle Wiltjer,Gonzaga,6-10,240,http://www.espn.com/nba/player/_/id/2581029/kyle-wiltjer,F,30
358,2367,Tony Allen,Oklahoma State,6-4,213,http://www.espn.com/nba/player/_/id/2367/tony-allen,SG,9
359,3136696,Wade Baldwin IV,Vanderbilt,6-4,202,http://www.espn.com/nba/player/_/id/3136696/wade-baldwin-iv,PG,4
360,136,Vince Carter,North Carolina,6-6,220,http://www.espn.com/nba/player/_/id/136/vince-carter,SG,15
361,3195,Mike Conley,Ohio State,6-1,175,http://www.espn.com/nba/player/_/id/3195/mike-conley,PG,11
362,2489530,Troy Daniels,Virginia Commonwealth,6-4,205,http://www.espn.com/nba/player/_/id/2489530/troy-daniels,SG,30
363,3937101,Deyonta Davis,Michigan State,6-10,240,http://www.espn.com/nba/player/_/id/3937101/deyonta-davis,PF,23
364,3979,Toney Douglas,Florida State,6-2,195,http://www.espn.com/nba/player/_/id/3979/toney-douglas,PG,16
365,2579321,James Ennis,Long Beach State,6-7,210,http://www.espn.com/nba/player/_/id/2579321/james-ennis,SF,8
366,3206,Marc Gasol, ,7-1,255,http://www.espn.com/nba/player/_/id/3206/marc-gasol,C,33
367,2327577,JaMychal Green,Alabama,6-9,227,http://www.espn.com/nba/player/_/id/2327577/jamychal-green,PF,0
368,3064511,Andrew Harrison,Kentucky,6-6,213,http://www.espn.com/nba/player/_/id/3064511/andrew-harrison,PG,5
369,3064517,Jarell Martin,LSU,6-10,239,http://www.espn.com/nba/player/_/id/3064517/jarell-martin,PF,1
370,6466,Chandler Parsons,Florida,6-10,230,http://www.espn.com/nba/player/_/id/6466/chandler-parsons,SF,25
371,1017,Zach Randolph,Michigan State,6-9,260,http://www.espn.com/nba/player/_/id/1017/zach-randolph,PF,50
372,3078286,Troy Williams,Indiana,6-7,210,http://www.espn.com/nba/player/_/id/3078286/troy-williams,SF,10
373,3242,Brandan Wright,North Carolina,6-10,210,http://www.espn.com/nba/player/_/id/3242/brandan-wright,PF,34
374,3410,Alexis Ajinca, ,7-2,248,http://www.espn.com/nba/player/_/id/3410/alexis-ajinca,C,42
375,3414,Omer Asik, ,7-0,255,http://www.espn.com/nba/player/_/id/3414/omer-asik,C,3
376,3974,Dante Cunningham,Villanova,6-8,230,http://www.espn.com/nba/player/_/id/3974/dante-cunningham,PF,33
